Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,fr_pyridine,Ipc,BCUT2D_MRLOW,PEOE_VSA11,PEOE_VSA4,NumAtomStereoCenters,SlogP_VSA7,VSA_EState5
CHEMBL3806279,CO[C@@H](C)c1c(NC(=O)Nc2cncc(C(F)(F)F)c2)cnc2cc(C)nn12,11.0,8.647135238095245,2.3528647619047547,0.030834072805653003,1.0,1607683.8337244035,-0.13733356789737486,5.647177220767728,18.269926951325495,1.0,0.0,0.0
CHEMBL3806155,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,10.64,10.003120052910058,0.6368799470899429,0.0486149974738012,1.0,27212287.368741576,-0.13736432249559255,16.61814981549555,28.46729056792757,1.0,5.153109816892792,-0.5278923916555727
CHEMBL3805390,COCC(c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12)C1CC1,10.55,9.328646035353536,1.2213539646464646,0.034279343203148564,1.0,46550196.188095674,0.16939431504740612,16.61814981549555,15.296045424903113,1.0,10.175743130634118,0.8234161810760903
CHEMBL3806235,O=C(Nc1cnc(-n2nccn2)c(C(F)(F)F)c1)Nc1cnc2cc(Cl)nn2c1C1CCCO1,10.03,10.037652910052916,-0.007652910052916795,0.04841640786519735,1.0,69427862.3283912,-0.13736445943488426,16.61814981549555,28.46729056792757,1.0,5.153109816892792,-0.5191305306209844
CHEMBL3806299,CC(C)c1c(NC(=O)Nc2ccc(-n3cc(CN)cn3)c(Cl)c2)cnc2cc(Cl)nn12,9.87,7.894927976190476,1.9750720238095232,0.020652794938430273,0.0,11920591.796649422,0.2618131812158376,10.800287037660521,10.197363616602075,0.0,10.175743130634118,0.06757137170681937
CHEMBL3805576,CC(C)c1c(NC(=O)Nc2cnc(N3CCCS3(=O)=O)c(C(F)(F)F)c2)cnc2cc(Cl)nn12,9.61,9.334156322751321,0.27584367724867853,0.03854589974742078,1.0,28101273.716400355,-0.13673133858212194,16.61814981549555,18.269926951325495,0.0,5.153109816892792,-1.0906537102889449
CHEMBL4784740,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2ccc(Cl)cc2c1C1CC1,8.7,7.881340540771859,0.8186594592281402,0.02459941704929787,2.0,13475904.900811708,0.26183359130418327,5.817862777835028,10.197363616602075,0.0,10.045266627482652,0.7643373273402965
CHEMBL4748505,COc1ncc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N(C)C2CCOCC2)cc1Cl,8.7,8.058318140255713,0.6416818597442866,0.02610942526309172,2.0,31453118.49570483,0.0855286784695713,0.0,5.261891554738487,0.0,5.022633313741326,0.27317001170370014
CHEMBL4757361,COc1ncc(NC(=O)Nc2cnc3cc(Cl)nn3c2N2CCOCC2(C)C)cc1Cl,8.7,8.34649953102453,0.3535004689754686,0.03425661391117782,1.0,9764795.045016974,0.06372533115312927,16.61814981549555,9.61407970191666,0.0,10.175743130634118,0.9313987825347763
CHEMBL4568735,CO[C@@H](C)c1c(Nc2ccc([C@H](N(C)C(=O)C3CCS(=O)(=O)CC3)C(F)(F)F)cc2)cnc2cc(Cl)nn12,8.62,7.565545476190482,1.0544545238095173,0.06959169610877904,0.0,186571854.79403198,-0.19021361679366391,16.842127866808482,18.269926951325495,2.0,5.153109816892792,-1.9020325278378762
CHEMBL4748253,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,8.52,8.323516230158733,0.19648376984126692,0.03174395341581223,1.0,8619484.949432792,0.1143507692057253,16.61814981549555,15.296045424903113,1.0,10.175743130634118,0.341706373776526
CHEMBL4781879,COC[C@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,8.52,8.530432791005296,-0.010432791005296593,0.03269831940668554,1.0,13671402.977792453,0.18219345825840058,16.61814981549555,15.296045424903113,1.0,10.175743130634118,0.24744989238467952
CHEMBL4745946,CC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,8.52,8.191660185185187,0.32833981481481267,0.034449735329112934,1.0,4930717.798828721,0.26180424026646604,16.61814981549555,15.296045424903113,0.0,10.175743130634118,0.415428936456381
CHEMBL4760571,COC[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,8.4,8.530432791005296,-0.1304327910052958,0.03269831940668554,1.0,13671402.977792453,0.18219345825840058,16.61814981549555,15.296045424903113,1.0,10.175743130634118,0.24744989238467952
CHEMBL4746044,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,8.4,8.476432380952376,-0.07643238095237592,0.021928182975844823,1.0,1607683.8337244035,-0.14066489455516404,10.800287037660521,18.269926951325495,1.0,5.153109816892792,0.0
CHEMBL4128769,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,8.4,7.795220399230399,0.6047796007696009,0.027375671583000083,2.0,4038902.2350043515,-0.11995821925358816,5.817862777835028,10.197363616602075,0.0,10.045266627482652,1.0338986098410705
CHEMBL4796575,COc1ncc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N2CCOC[C@@H]2C)cc1Cl,8.3,8.084646599280347,0.21535340071965337,0.031211564456736986,2.0,18426283.242615193,0.09913245602737787,0.0,5.261891554738487,1.0,5.022633313741326,0.27152065696993
